impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	4807.42209467	11885.6353406	5863.20275792	656.92423287	9584.80570067	54720.4485305	6350.81414713	1987.20584813	22219.2195526	5750.1397763	26986.8974869	10192.2080703	2429.0355309	6096.63609119	14873.2128383	19928.0033769	2068.87023888	2068.81838148	1208.20807115	171.810038314	23360.0981335	36182.8670566	5241.45735403	5585.55251041	5138.15805758	1604.23504397	3784.58741452	30331.9182743	131063.890398	56633.2715853	436325.961777	68708.4282784	44446.9883718	63707.3097366	120633.298284	42475.5410459	176029.370557	58402.1247097	3485.59522558	35006.49254	31886.2973285	8521.86404673	58486.5729859	46709.5007856	380585.842598	103879.906932	43600.3696404	101118.826617	246328.173284
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	1699412099.14	4142499936.16	1236666328.39	617170948.956	1193818814.05	30101523292.2	4666365186.97	383616703.755	5676442524.87	1280993374	9073301679.45	10293248624.7	543781700	767317179.428	10580659997.7	6624888191.34	270010623.853	933590227.328	630515357.425	129493416.012	5126539115.61	3405063612.89	944880292.684	5760397119.01	2909089056.03	302765781.582	1528837576.74	9325593100.68	22898323992.8	34378599263.7	272882587952	6916000946.86	14352383949.8	141899845881	62131658781.8	232560001344	218833305010	2556776323.13	3127231696.19	52059994067.4	6928773192.72	2060817825.95	11082338170.3	38397442638.5	544960414975	135867870367	197339380050	61107938520.1	264175808252
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	1142503446.82	3035422114.85	1218331972.26	261227420.503	1717399058.82	14656530853.5	3721114755.74	480487569.465	5901961252.45	697981227.413	11225377078	4334858214.11	571514550.465	1755431477.6	19080126579.8	3622849336.73	964356639.724	552874785.965	536970281.065	57397236.5333	6065474302.68	6237698960.94	1862548437.92	1976326758.24	1063354113.87	434319646.115	895531713.47	7401846363.8	30780710185.5	7593838884.23	73976210278.6	11266733630.8	4861843408.43	26672074790.8	24131022294.9	12948124221.8	16520753514.8	9735403967.51	1154282413.51	4558124716.3	2224349099.73	1634977086.56	6039299836.7	5985032637.4	279505309321	36705029512.8	20246999827.3	25930785851	28264921516.6
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	2612.88829026	16910.1818754	3011.42066809	6486.70266121	1669.00509446	219128.16762	31198.2034542	2980.64490168	13804.3994547	3227.07330278	31593.6628446	92862.5249517	2537.74985329	1041.532703	10667.7314632	25203.3644701	1061.58771472	4078.22893216	2933.62053954	546.206426651	30567.9619875	4786.47898433	2999.38216045	9807.46112438	10557.0561302	1562.19892559	1525.80572603	50157.3133537	40803.6400407	141624.666732	562504.724123	19948.4137283	59096.8628315	166263.375928	93024.3724049	255547.777005	284893.210518	5257.79442241	6571.1208772	94096.1572701	25420.6256974	15724.914381	25232.397946	46066.3078763	730931.335901	160761.033426	228776.507453	70276.44696	334509.894854
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	9136.88626722	23694.3280263	7294.76170678	3317.36478219	17688.2456519	159563.17578	37233.7942767	6622.22209698	44912.9345427	11998.1742024	67897.2261478	73273.2380739	5635.31216268	9251.89474082	82148.8055495	53736.7908921	4748.84721845	6502.36286615	4533.78999637	1015.4849304	30850.7949659	42765.2550098	12905.4666328	19465.4487934	17084.6258618	3969.5645915	15235.5879039	59647.9705339	169863.900602	202110.166643	2380867.11202	83395.6950359	83160.7477028	333884.474135	913666.524017	455866.576692	541889.760674	56570.9809691	30192.0693525	176557.041155	48578.1171086	28182.1804893	116393.929239	142842.380092	1492756.32693	341720.298943	387507.834541	192028.792751	740525.590003
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	11693.8092889	33731.4736482	26470.9577776	4669.5520171	20476.5308178	219531.134255	41666.9809594	6196.4009109	62880.5545171	10863.6346337	99774.738979	78550.8341528	7191.48899691	14852.3406597	130497.913222	46463.0495924	7781.25554067	7071.81247831	5478.71707674	948.934756897	58891.4750477	62237.7223929	16908.1588435	20598.283932	15243.0848043	4816.36650634	9571.24035876	87844.2527001	296798.120356	153286.739374	1150762.57363	126940.259634	94732.546753	229780.227313	350132.413364	157420.889528	256465.25486	100258.469754	16707.6741639	65339.622807	43346.8018495	23662.4013307	92781.0764269	116687.619877	2070550.3849	478247.850444	207153.950263	279935.863988	479074.318763
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	4807.42209467	11885.6353406	5863.20275792	656.92423287	9584.80570067	54720.4485305	6350.81414713	1987.20584813	22219.2195526	5750.1397763	26986.8974869	10192.2080703	2429.0355309	6096.63609119	14873.2128383	19928.0033769	2068.87023888	2068.81838148	1208.20807115	171.810038314	23360.0981335	36182.8670566	5241.45735403	5585.55251041	5138.15805758	1604.23504397	3784.58741452	30331.9182743	131063.890398	56633.2715853	436325.961777	68708.4282784	44446.9883718	63707.3097366	120633.298284	42475.5410459	176029.370557	58402.1247097	3485.59522558	35006.49254	31886.2973285	8521.86404673	58486.5729859	46709.5007856	380585.842598	103879.906932	43600.3696404	101118.826617	246328.173284
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	1699412099.14	4142499936.16	1236666328.39	617170948.956	1193818814.05	30101523292.2	4666365186.97	383616703.755	5676442524.87	1280993374	9073301679.45	10293248624.7	543781700	767317179.428	10580659997.7	6624888191.34	270010623.853	933590227.328	630515357.425	129493416.012	5126539115.61	3405063612.89	944880292.684	5760397119.01	2909089056.03	302765781.582	1528837576.74	9325593100.68	22898323992.8	34378599263.7	272882587952	6916000946.86	14352383949.8	141899845881	62131658781.8	232560001344	218833305010	2556776323.13	3127231696.19	52059994067.4	6928773192.72	2060817825.95	11082338170.3	38397442638.5	544960414975	135867870367	197339380050	61107938520.1	264175808252
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	1142503446.82	3035422114.85	1218331972.26	261227420.503	1717399058.82	14656530853.5	3721114755.74	480487569.465	5901961252.45	697981227.413	11225377078	4334858214.11	571514550.465	1755431477.6	19080126579.8	3622849336.73	964356639.724	552874785.965	536970281.065	57397236.5333	6065474302.68	6237698960.94	1862548437.92	1976326758.24	1063354113.87	434319646.115	895531713.47	7401846363.8	30780710185.5	7593838884.23	73976210278.6	11266733630.8	4861843408.43	26672074790.8	24131022294.9	12948124221.8	16520753514.8	9735403967.51	1154282413.51	4558124716.3	2224349099.73	1634977086.56	6039299836.7	5985032637.4	279505309321	36705029512.8	20246999827.3	25930785851	28264921516.6
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	328.025728291	1224.75498558	360.673186772	387.952101102	190.573990855	13843.9326741	1947.24626438	191.31233971	1333.76685017	299.266240406	2317.69774369	5726.50791587	193.37046963	107.311059511	1179.24950611	1883.92690199	82.986410171	337.679869074	204.340082117	41.8775211198	1993.53528275	630.20433281	289.131611404	1165.50544753	792.53279141	114.38086002	185.355070245	3310.07735868	4469.80721799	10221.7587028	75371.6059482	1553.95761326	4705.27702868	17806.0772332	7807.52794578	27298.9098665	28483.9968609	483.759862007	532.056092921	12074.8326692	2099.04711709	964.109332808	2083.27551744	5123.93376252	73818.6737917	17125.416946	22847.1984884	7575.8557504	34823.1528231
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	81.6995163375	120.335992165	42.2359947068	9.15024662847	112.114880267	664.995525941	71.4356924158	10.6520275772	231.577867064	43.0306155829	344.569131931	55.731456668	34.4834359741	46.2642054123	112.537791233	202.029483514	11.7749479573	11.3194140852	6.83432357063	3.24098224078	126.674771043	205.636119328	47.2414900443	83.6698339687	60.914245865	14.5292832234	31.2025831121	294.463211635	2592.69612061	501.989816766	1975.97451958	647.729968952	377.685737651	702.099707987	716.131522598	586.548963445	2245.266962	317.266984314	82.3814274616	324.164280615	297.323312666	147.37017241	408.474503074	131.137730555	2098.76586968	1052.99287129	233.063492734	928.623773758	2579.06931347
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	10761.2684965	26913.4655692	19813.6413417	3451.42971638	19779.0856187	174617.212891	40610.9499989	6923.16530894	52592.0386151	11096.3814972	83312.2425366	72472.967509	6154.96949917	12127.2672163	122244.527955	51882.3123674	6680.39920242	6223.17289392	4853.6037951	974.198780022	40848.4843433	53944.2794246	15353.1709616	23336.2874488	15408.5693847	4086.16732951	14536.8930892	68387.4377308	229561.442467	180135.443701	2199278.27171	110201.299608	84787.2525183	349614.234659	827597.626917	399219.199773	470152.477612	87564.1239026	27483.2255728	145718.347565	45231.7420277	25041.00017	115856.727324	155383.084134	2149507.66311	511905.439978	380307.061778	296281.73483	707080.953092
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	4618.85689043	11399.0372562	5621.36820017	628.303120468	9170.34320438	52391.9778779	6116.98264812	1914.07213351	21290.6340035	5589.3356877	25963.0424607	9763.90140234	2336.01701499	5865.9666845	14406.6003455	19088.2314522	1994.18944843	1975.83122016	1161.17120948	164.421980007	22386.3245252	35202.2275782	5043.37763954	5366.96677029	4951.64657811	1540.67959238	3630.03845673	29137.8971618	126183.922806	53965.1329524	417398.963537	66139.7193656	42378.8495379	62030.7939247	116255.366068	41029.5001749	170392.655371	57034.7287281	3344.27991934	33471.5831042	30400.6265761	8221.80423218	56823.7146906	44828.0514806	369049.012582	101232.463707	42085.1173457	99487.6746591	238833.614006
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	185034580.439	488579094.903	183681950.828	89855726.0022	164598111.476	3674514310.91	488696882.542	46729809.8543	614823025.208	136397689.341	831653348.776	1360216507.93	71539642.259	77340978.8509	929292339.778	715036085.028	23331146.34	124345030.862	61007944.5336	13607810.5201	579540540.203	417328720.713	109346439.638	778042027.527	343332882.804	40416532.1773	140766403.025	981415777.001	2280997095.17	3294924669.92	35235216774.2	705047383.657	1839726398.39	18945226704.1	7211464247.17	30859533590.7	23675451434.8	255654004.705	182144404.915	7403652770.15	820801382.174	254824979.261	1180329670.73	5087179359.36	73126416042.8	18160886492.4	16939811584.8	8146262943.3	35186029110.6
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	1142503446.82	3035422114.85	1218331972.26	261227420.503	1717399058.82	14656530853.5	3721114755.74	480487569.465	5901961252.45	697981227.413	11225377078	4334858214.11	571514550.465	1755431477.6	19080126579.8	3622849336.73	964356639.724	552874785.965	536970281.065	57397236.5333	6065474302.68	6237698960.94	1862548437.92	1976326758.24	1063354113.87	434319646.115	895531713.47	7401846363.8	30780710185.5	7593838884.23	73976210278.6	11266733630.8	4861843408.43	26672074790.8	24131022294.9	12948124221.8	16520753514.8	9735403967.51	1154282413.51	4558124716.3	2224349099.73	1634977086.56	6039299836.7	5985032637.4	279505309321	36705029512.8	20246999827.3	25930785851	28264921516.6
Unused Domestic Extraction	10186.6773105	23454.662314	89317.4215495	114.568712102	194621.365987	870747.399149	18679.8020486	2709.46852146	98503.6550432	26799.0934086	68975.5910193	74512.4480454	3750.82531557	19351.1500966	7393.66421314	31878.3484227	5367.44324989	834.13171799	4561.45683589	157.744402864	25106.9464276	314631.854775	18174.2209307	41727.7063227	61792.3075467	8339.65429129	5070.65127785	45663.6227831	1885662.4397	3598.12203233	1336844.38791	1137489.7522	9066.75429776	369516.457727	1623071.5929	310567.689769	1906681.70173	9059094.45009	5329.89851642	63633.4572584	4166.30340011	27514.3595509	1581418.79317	2535875.10691	3065567.52902	2795689.50116	260216.147059	811744.785775	398531.194052
Water Consumption Green - Agriculture	4031.33665558	2696.15326138	17680.1075531	34.7842243931	3326.48538918	55333.204611	9069.32256562	1977.27825468	37168.2089175	461.016684716	42600.7363268	4532.99874498	2699.86791339	15108.8765302	1697.26961031	12162.2252601	4113.99790159	260.690294129	3387.22835125	8.4122504825	5353.82540533	21907.8029227	7024.02521704	28789.0349148	926.269027923	718.682550171	3609.40535563	3939.17332283	460254.464964	1082.8502574	199615.410165	118698.179156	1463.26641211	167427.661277	170996.846205	60078.0175554	148274.825289	52744.4551515	487.5057411	26329.6302356	0	268.64168337	262713.935681	10899.4694474	583389.96479	300780.689089	170828.74761	523710.549125	58951.5212394
Water Consumption Blue - Agriculture	27.7894163886	14.3561500373	162.33128799	36.0871857156	5.00562546236	123.74142377	66.7194869291	0.800480059311	10199.1018017	0.917760944934	1470.39822274	1681.11917276	1.62890758154	135.080451538	0.485843522176	1040.36255401	2.31128826274	0.0419284689822	0.425930658999	3.04982996101	706.974437431	538.11560537	998.858033248	820.502327556	6.37688845562	2.18719450763	89.1593342163	26.9944144114	45292.9897626	6.6403798375	35636.2470218	547.784532205	159.855035888	2556.38079599	39243.7115005	15582.1950301	3794.44269526	5876.26851552	0.432836219026	5570.36931512	0	0.340369679502	963.686720071	1436.95111304	127116.369963	11980.9373266	3263.24395024	16582.9870881	78740.2067074
Water Consumption Blue - Livestock	20.4264241081	41.0790995987	12.9032004799	0.824088821416	16.023182558	194.89965884	82.0776818345	6.0767956046	130.053910781	5.43171505519	176.057339748	10.8153953565	12.943047526	29.2311773089	237.644416246	43.5934986544	22.3164014557	1.50671945699	7.58815734646	0.402706541843	105.140162511	138.326471415	33.9490376996	58.8823618009	6.56571783544	5.45411947972	12.9058125362	106.725560818	349.963409399	2.99861446372	771.329930008	90.0575301632	9.87274331046	994.480496481	2116.59062473	426.466136386	83.2937174666	347.321479021	11.9875069506	33.0238938105	10.0782974655	5.07690040113	12.9971140177	100.015456746	2241.50300876	1502.16986825	315.293614967	1791.50883942	90.6190035033
Water Consumption Blue - Manufacturing	149.804710945	1026.18156085	115.961923911	0.467360683217	120.143280875	762.717226882	16.8083769507	3.10811620563	61.1695200124	109.222480925	221.141281212	13.4634391407	17.5602108749	71.5804265685	311.158391678	522.086236612	6.51274229023	6.45721430966	18.3384202462	0.0682078310321	269.330189945	311.26798058	34.8422164927	90.4980790083	134.525558147	0.695147300224	163.436089747	553.748578049	1471.22012069	508.388238389	34301.8116599	307.939843918	331.063830883	365.610107452	3851.57147229	843.353203059	450.442686931	18.3879057038	31.5885846308	1057.00002473	192.938292723	154.379443018	74.1350800709	72.1616831417	7078.57084182	880.190007507	589.197115289	3010.71656223	61.3237152347
Water Consumption Blue - Electricity	6.00111185799	38.0359591047	33.3715794143	0	0	244.140419024	85.9989909449	3.59166456921	45.6919238876	2.26798403218	2.7337664719	97.8553911965	206.492182713	14.5256877674	2.31765575038	32.4518973263	15.9893799379	0	0	0	8.77967894269	53.6346678152	3.40770371788	20.3507369154	6.01353526953	18.3343309922	12.089604022	53.1034714439	204.472320098	0.4666690448	414.750081083	64.7621017553	83.5068164125	16.3918638184	102.828940446	15.9921316058	133.73335408	46.0876149347	23.2235507609	21.4429068988	0.769361615993	0	14.778575677	75.255313874	255.039645191	32.5348804498	172.84127179	1.31474923132	119.272157955
Water Consumption Blue - Domestic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water Consumption Blue - Total	204.021663299	1119.65276959	324.567991795	37.3786352202	141.172088896	1325.49872852	251.604536659	13.5770564387	10436.0171564	117.839940958	1870.33061018	1803.25339846	238.624348695	250.417743183	551.606307196	1638.4941866	47.1298119466	8.00586223562	26.3525082516	3.52074433388	1090.22446883	1041.34472518	1071.05699116	990.23350528	153.481699708	26.6707922798	277.590840522	740.572024722	47318.6456128	518.493901736	71124.1386928	1010.54400804	584.298426494	3932.86326374	45314.7025379	16868.0065012	4461.91245374	6288.06551518	67.2324785613	6681.83614055	203.785951804	159.796713098	1065.59748984	1684.38356681	136691.483459	14395.8320828	4340.57595229	21386.527239	79011.4215841
Water Withdrawal Blue - Manufacturing	1813.87720469	2055.55171457	312.417600187	1.21402919739	346.076209044	6336.13217367	30.5606853649	17.5112768224	799.996995479	326.977148348	1393.16111422	87.4680222532	97.2399572794	263.04198201	1960.25712284	3391.84142216	43.2548361026	24.4234701518	43.2218887924	0.443126308235	2922.2777419	1155.19122141	186.75324133	712.51248089	617.884815363	44.4446100587	683.325055084	1141.45943308	14712.2012069	3205.58462314	67620.0185396	2552.56946533	2433.0163456	2544.41019566	25900.5599978	3327.28237718	2184.5164287	212.395894855	199.003946797	2476.8689428	1518.42301397	707.280226444	583.442561525	542.573745764	55967.8826834	7324.86183842	3838.56446272	7262.17845192	525.053030908
Water Withdrawal Blue - Electricity	387.745329719	1611.34507788	2602.79456482	0	0	5928.83829313	106.711989882	32.6851508811	1898.64690714	282.500752026	30.2368079537	120.346168708	361.170404109	1562.4498152	193.062681416	2498.28863088	1908.53101809	0	0	0	955.34516088	1851.87675992	228.816282835	1023.51446024	36.1758522242	714.932340959	57.5360117576	1042.46752479	8829.706615	0.551409468276	13182.9262818	6568.85056531	9673.53849492	1897.93867332	1961.33282538	25.1549758539	3410.61797461	77.6017030945	640.078231977	1708.7884145	0.984330302814	0	1732.33685853	87.7978661863	19999.3232839	3769.40345826	3591.21075542	1.53387410321	13337.0582394
Water Withdrawal Blue - Domestic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water Withdrawal Blue - Total	2201.62253441	3666.89679245	2915.21216501	1.21402919739	346.076209044	12264.9704668	137.272675247	50.1964277035	2698.64390262	609.477900375	1423.39792218	207.814190961	458.410361388	1825.49179721	2153.31980426	5890.13005304	1951.7858542	24.4234701518	43.2218887924	0.443126308235	3877.62290278	3007.06798133	415.569524165	1736.02694113	654.060667587	759.376951018	740.861066842	2183.92695787	23541.9078219	3206.13603261	80802.9448214	9121.42003064	12106.5548405	4442.34886897	27861.8928232	3352.43735303	5595.13440332	289.997597949	839.082178774	4185.65735729	1519.40734428	707.280226444	2315.77942005	630.371611951	75967.2059673	11094.2652967	7429.77521814	7263.71232603	13862.1112703
Carbon dioxide (CO2) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	17806.1860058	46720.7557492	22117.8022149	2815.97777554	40140.0914177	223746.890172	21021.5625182	6394.57306788	88298.5146134	15129.0858562	91079.1106459	41484.3336541	8690.43849525	19913.5388668	38054.4201626	81499.2989183	5886.53504623	9099.60206515	3977.66417177	726.002558278	93337.0903761	81775.327615	18885.6571844	18750.0596645	17562.6052817	6140.83841466	14598.0313818	113087.309103	452705.797746	265274.939569	1850075.61014	240751.324173	205389.311386	126348.40671	411146.487662	136242.472849	544664.377907	102165.013608	13411.1795602	147570.377814	147029.86532	28977.6299185	149613.575522	184206.676075	1052555.18419	222752.069741	133365.0679	98867.9765212	731484.298783
