impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	11458.3215004	25119.6039523	2918.55384977	352.876327434	10215.7025016	105142.831556	9577.13347898	1305.88776436	35923.5931266	6593.45140956	67066.533847	9114.41834676	2517.7316114	8541.43647146	21061.7089289	61320.4736813	2240.93687684	3732.18207409	1199.44039233	550.283105407	32361.7320455	21173.7016201	7048.70670019	7718.76460472	13014.9089549	2390.80746706	6512.8135803	73296.3399542	375429.69304	108195.462122	359638.707158	44299.9499545	65928.8226271	35837.7192592	116029.013677	33390.6767971	46198.736936	34657.7947903	17437.0238805	36124.5726085	23357.7900918	9165.02321926	38239.2731559	11607.9199842	291166.681144	81139.3397319	37711.2425109	107406.179729	156681.520533
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	8183910870.49	19870475465.4	2459590180.36	254543564.938	6725851424.22	76696724619.3	7931617026.97	692678141.227	30984559903.1	5422032000.89	54643572089	5132954530.29	1214492725.08	5965522552.98	13928834319.1	49209299402	1360390626.19	2138697537.11	670945444.574	280095878.961	22685614694.6	17426145229.3	5186459555.52	8791220082.01	9995053061.31	1416003364.71	2596109846.95	51326624446.8	516109007487	69287996466.3	204163398263	46638443477.1	50154178584.7	33681247790.5	134821734691	25958405392.8	74260842524.3	41978423421.7	10703598492.9	43398868496.6	11962894223.3	8840077903.46	106299872012	8622474545.7	213546361740	119372655809	27073297259.2	105717674784	180884503114
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	3176397926.05	9313851684.36	791707852.126	149171094.582	2461925549.12	32333015001.5	3295118901.18	427985246.506	11020929539.4	1728311461.99	18120431960.9	2252902373.02	676665798.051	2052673662.71	6045255426.73	15311357496.6	594695835.014	1544703754.13	814803175.743	174803484.6	10857472723.4	6089696015.34	2123502240.79	2156796204.79	3722805826.29	656354058.404	1320080325.12	26351185817.1	100774162346	34939811748.5	121333659180	11011731751.6	17372602577.6	8919330799.08	28909619064.8	8451588303.5	17885552989.9	11098232716.3	4566602747.5	11678867895.1	7626887997.25	2708924529.49	16730367799.5	3022901199.01	52565038232.6	22052330923	6432485267.35	27080057164.7	51482287476.1
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	18293.7791657	33112.6599433	5109.11160752	817.700824723	12907.6604727	152047.279437	38035.944896	1875.27118478	51960.4944527	15035.3252089	89000.2758903	14392.9535045	2833.66925586	10061.3787707	34301.0031525	90324.7481542	2457.88508586	3956.48259942	1373.350749	582.099573162	37391.3181737	31040.5877516	11075.7539363	15075.2973845	24245.360171	2863.58568334	5677.20431603	111519.756224	795853.305032	137183.275736	337580.965177	74485.5641745	79705.6153258	59821.6144157	187434.911282	41794.348895	100733.520225	71455.9351295	29286.3059258	62701.9308793	24749.9353914	22439.7010733	129168.309623	15192.0747347	343031.430302	168430.330521	43262.4069495	154420.346331	256750.371298
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	35824.2895482	83394.7795074	10041.737059	1090.90548728	28079.3672255	331288.546855	37998.1525949	3993.85452464	118992.958267	24255.9572555	228112.137449	23830.3699932	7389.597361	24927.1497459	69700.482874	174113.039596	6355.62438959	10582.0664898	3148.18119275	1350.71425045	100054.989982	74021.6921683	23054.3089675	29087.826651	47347.3090098	7191.2168223	13195.8956561	256962.627377	1730266.54	338694.557755	1109373.30969	172428.167895	229013.027121	137421.265813	490224.651073	103801.725696	220700.810697	161905.648852	49675.4060184	134151.117648	69123.2937853	37026.0631299	260490.441406	41361.7858018	1087818.35137	393716.421027	98585.6817383	446846.244933	662680.563562
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	35329.345827	89225.098256	8696.17620788	1468.70586875	26681.9069466	335883.183415	42135.8720901	4183.24138574	110540.036225	20982.9978644	197354.787842	27553.409838	7619.85466394	22109.1096389	65938.8935882	166094.533437	6042.19200407	13155.6428812	5926.15692593	1673.78832441	103011.634725	63819.6899772	21874.2372513	23796.1224058	41857.5715041	6922.38317568	14348.5293946	257126.989559	1160925.68402	343442.921651	1237532.79025	125980.090173	187618.085722	110691.061002	340173.823876	90953.2022016	167136.455062	116690.142196	52692.7583011	114130.702652	72190.7447774	31620.3524512	150511.566751	33973.7957065	714475.386148	244333.706026	76693.1299845	307492.595016	502356.673051
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	11458.3215004	25119.6039523	2918.55384977	352.876327434	10215.7025016	105142.831556	9577.13347898	1305.88776436	35923.5931266	6593.45140956	67066.533847	9114.41834676	2517.7316114	8541.43647146	21061.7089289	61320.4736813	2240.93687684	3732.18207409	1199.44039233	550.283105407	32361.7320455	21173.7016201	7048.70670019	7718.76460472	13014.9089549	2390.80746706	6512.8135803	73296.3399542	375429.69304	108195.462122	359638.707158	44299.9499545	65928.8226271	35837.7192592	116029.013677	33390.6767971	46198.736936	34657.7947903	17437.0238805	36124.5726085	23357.7900918	9165.02321926	38239.2731559	11607.9199842	291166.681144	81139.3397319	37711.2425109	107406.179729	156681.520533
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	8183910870.49	19870475465.4	2459590180.36	254543564.938	6725851424.22	76696724619.3	7931617026.97	692678141.227	30984559903.1	5422032000.89	54643572089	5132954530.29	1214492725.08	5965522552.98	13928834319.1	49209299402	1360390626.19	2138697537.11	670945444.574	280095878.961	22685614694.6	17426145229.3	5186459555.52	8791220082.01	9995053061.31	1416003364.71	2596109846.95	51326624446.8	516109007487	69287996466.3	204163398263	46638443477.1	50154178584.7	33681247790.5	134821734691	25958405392.8	74260842524.3	41978423421.7	10703598492.9	43398868496.6	11962894223.3	8840077903.46	106299872012	8622474545.7	213546361740	119372655809	27073297259.2	105717674784	180884503114
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	3176397926.05	9313851684.36	791707852.126	149171094.582	2461925549.12	32333015001.5	3295118901.18	427985246.506	11020929539.4	1728311461.99	18120431960.9	2252902373.02	676665798.051	2052673662.71	6045255426.73	15311357496.6	594695835.014	1544703754.13	814803175.743	174803484.6	10857472723.4	6089696015.34	2123502240.79	2156796204.79	3722805826.29	656354058.404	1320080325.12	26351185817.1	100774162346	34939811748.5	121333659180	11011731751.6	17372602577.6	8919330799.08	28909619064.8	8451588303.5	17885552989.9	11098232716.3	4566602747.5	11678867895.1	7626887997.25	2708924529.49	16730367799.5	3022901199.01	52565038232.6	22052330923	6432485267.35	27080057164.7	51482287476.1
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	1574.88356507	3241.72598745	447.444921915	61.4209734018	1187.09556765	13962.4496072	2600.89028561	149.483121152	5093.88875046	1189.80851725	8867.3464633	1158.89562693	239.981818507	970.539748204	2887.0825708	8331.44055311	224.699049475	367.245118278	119.415047218	51.8744193582	3722.15317262	2946.98380938	975.3734182	1452.40409786	2039.65275532	254.833536345	496.209319164	9882.96483479	79901.6832664	13329.6348758	31985.6390086	7533.30197131	8574.11400042	5901.24322283	20316.8284799	4306.39792559	10503.7321649	6977.19261098	2368.25668924	6318.48507309	2204.80453082	1836.24410942	14078.7637392	1492.72828735	38902.0480172	18132.2636276	4292.24086618	16582.2581485	27897.3578949
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	101.108905552	237.56122452	23.3415727857	1.9982677069	80.0933522827	899.258552248	70.9404896937	9.37152992699	320.822291699	62.0781004526	606.864939799	128.854850129	16.3117208656	71.7588798696	210.541749598	501.690762862	17.5263783821	35.6216812731	8.99790643591	3.94270728178	307.693108421	201.083533972	60.9726793046	61.3577408594	115.392452176	18.1077573549	45.5304892894	639.100033016	3030.04770928	855.46648336	3321.94042664	530.326717881	574.256490647	359.421182226	889.050365824	444.33602279	276.29079111	263.338431375	132.818243773	286.905506818	179.075834591	71.8822426008	288.736712613	90.2992646826	2420.3504878	934.689161857	333.02877572	812.678948662	1074.2386631
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	39801.0137153	101134.461606	10498.3947137	1331.40611349	30625.0463634	377898.383893	40480.6462837	4508.66926847	132977.493934	24731.771232	246523.403762	27936.1815567	8488.98023461	26693.2258424	75709.1634267	191884.177464	6963.79985845	13648.5566232	5167.14972394	1673.28131688	117656.84884	80077.0802811	25071.9902603	30664.0576574	49586.4868685	7933.04480965	14578.5445909	291597.464952	1737167.18556	395883.83746	1400787.29932	174052.720647	248881.401567	146489.77417	510048.671628	111777.768272	235880.44138	164857.182699	55190.7310625	148952.124773	80972.191413	37853.8742084	260830.947143	44163.913983	1080172.76918	385601.855938	99132.5333901	449789.495085	712966.498892
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	11052.0279918	24218.2941119	2817.16939419	340.30534853	9858.75485622	101405.969365	9217.3138672	1262.38125613	34719.3562434	6354.73672251	64702.5374553	8801.10773385	2431.65936688	8240.67961168	20281.9230858	59267.4172452	2166.76080383	3607.49499503	1162.27954721	533.452462793	31261.4190038	20441.7418391	6805.24859887	7448.91516604	12538.203935	2308.54649708	6283.08351614	70629.8075895	361438.772124	104572.794514	348894.214185	42626.7327592	63762.3962925	34561.998602	112374.922445	32180.7010991	44623.0474811	33396.0749072	16787.908873	34991.836373	22640.5550847	8825.02427194	36952.1713206	11226.0334668	280134.836319	78083.7127715	36410.0718724	103449.444274	151215.180665
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	967061465.49	2431241534.33	278588437.938	33695294.7232	788243825.474	9272391590.68	1024841489.96	84215797.4116	3797896758.63	651458704.884	6660823753.42	628240070.404	138673865.778	676812357.294	1744151303.43	5892134908.5	152419375.801	261841935.273	77921684.0759	35177058.4802	2782822165.67	2013586621.67	631719430.983	1003606836.3	1202389008.1	162758234.94	305349596.328	6332829970.32	66164804529.6	8933591391.28	25549884123	5903346130.28	6297913506.11	4316189220.83	17255916912	3184158256.88	8874961322.99	5436862020.82	1328095806.81	5048314212.93	1517170715.91	1103411250.04	13821222940.9	1090604825.93	26067792445.9	15318308894.4	3187430885.01	12837409657.9	21191770256.8
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	3176397926.05	9313851684.36	791707852.126	149171094.582	2461925549.12	32333015001.5	3295118901.18	427985246.506	11020929539.4	1728311461.99	18120431960.9	2252902373.02	676665798.051	2052673662.71	6045255426.73	15311357496.6	594695835.014	1544703754.13	814803175.743	174803484.6	10857472723.4	6089696015.34	2123502240.79	2156796204.79	3722805826.29	656354058.404	1320080325.12	26351185817.1	100774162346	34939811748.5	121333659180	11011731751.6	17372602577.6	8919330799.08	28909619064.8	8451588303.5	17885552989.9	11098232716.3	4566602747.5	11678867895.1	7626887997.25	2708924529.49	16730367799.5	3022901199.01	52565038232.6	22052330923	6432485267.35	27080057164.7	51482287476.1
Unused Domestic Extraction	112786.330695	279773.895274	17754.5264123	1316.15874727	95023.1791783	832991.380709	52861.1640928	6600.48654704	325894.709109	46763.4803877	542112.352162	48042.404995	14535.5553919	68862.8271631	152394.525698	420155.82109	11629.582827	33805.6485656	5164.34124207	2260.06087322	328545.159864	274306.810302	90813.7252923	54542.1560457	94088.2624229	15129.4866862	62913.399301	546768.037916	2637732.35125	1623360.36234	7590595.23148	352320.771571	1356294.32605	357353.291233	4197264.6116	286743.763732	343937.309125	171201.658229	125730.201014	457175.651031	369750.790359	63004.0812924	355389.08048	80778.0317053	2957650.52338	539146.638924	297336.584714	984427.333686	1578676.24374
Water Consumption Green - Agriculture	15478.5718541	49421.4141574	3347.36731293	261.286981685	10075.1475002	161594.737955	10057.5988607	2446.37770312	71848.4941029	7026.10261311	102062.305264	10266.0111303	2336.13482981	7737.86085327	16789.5880771	76577.2267826	2621.57049282	9208.9540337	1857.51552324	522.246244316	64315.8864817	34338.6467316	11055.3129563	11730.8767825	15246.2723233	3105.88924528	4782.51152833	91821.3459222	390319.562662	176517.652207	584791.309847	68175.5940706	82977.1617728	48973.1509852	145701.013068	66886.7740884	80294.5356439	31648.2751093	20627.7363744	59752.7839303	41522.1142621	11056.1825385	54779.6201775	16464.2589669	354371.908121	116058.35093	30080.0198009	176344.879831	254338.91246
Water Consumption Blue - Agriculture	1218.57472381	5199.00636735	442.271144976	63.2874419166	1059.2529319	18383.8443164	920.095891528	187.911169923	6860.32764613	800.663334259	10929.2945141	1039.56829529	228.185878	794.886942116	1824.68507759	8470.03284152	278.867634694	997.328725975	152.604755895	68.9197914974	6595.51334099	2948.73572104	1294.39524927	1021.25033898	1638.13711052	479.200163801	530.301204748	11850.485854	51726.000374	20818.1174817	58686.568284	9347.2707437	10104.4398477	4444.29156855	16998.1562596	6841.58394258	14604.9899114	4914.14344839	2130.60344267	5490.21258999	4700.41323282	1231.30861084	8299.11722871	2042.39859058	38115.5518227	13222.2088843	4033.64969143	24124.6413986	24359.6678806
Water Consumption Blue - Livestock	50.5266886285	110.303763449	9.96979610229	1.04269619061	32.3957842892	456.179409355	41.1033780573	6.11737547048	188.742698383	21.2539244198	338.350965044	35.044458561	14.4062376738	30.2086320674	90.898409272	299.795354428	8.08341840859	21.0129943436	4.49774149426	1.76118812407	155.219249254	98.9078248014	38.9809043487	27.0640398204	52.3899377757	9.22569376566	19.3966494749	396.622445581	1531.90644158	469.734404924	2145.20858196	147.52299158	230.801915512	134.778456209	184.555199905	101.838261784	352.291833701	91.6195734097	51.6710303506	348.157570271	171.614143009	31.4437147302	189.237225513	35.7100346717	1352.86788435	260.51037969	69.9301458945	324.917140075	2040.67345944
Water Consumption Blue - Manufacturing	194.578614415	470.409190417	40.0585830394	3.48001662344	173.676736843	2422.96295706	143.84155131	13.8459846194	954.425749246	98.2629977879	1796.97374341	111.516730847	23.5525325703	141.516098665	562.25119509	1100.35447944	26.0558486822	53.9762353996	9.90444041184	4.81191027257	660.851060533	448.972556781	122.872635824	138.082923056	237.548907055	27.9985726168	74.4043826028	1594.1751728	11372.6559684	2830.08809598	3471.0512101	1215.1526662	1561.21594522	931.915558439	2254.18619403	675.714099023	1118.31756123	909.003318379	293.763301581	573.007526877	243.586893005	164.398322584	978.200075933	262.612122274	10521.4954323	2388.13059419	467.066849198	2463.26124693	4418.10059853
Water Consumption Blue - Electricity	25.3474116918	28.7034583129	5.74598444598	0.242292953607	15.7353129563	145.630658712	11.1169863112	1.72322292571	40.519989022	9.95836783623	95.0955863172	17.799622789	10.8100960267	79.5194554536	29.5400559342	101.603928118	3.25592397552	4.37300185719	1.71157859738	0.544732431139	42.356975443	34.1986422894	8.77053434044	14.5779650901	25.1407768917	32.6831723168	7.06330430296	92.4570002068	337.800933101	93.8114580882	271.533986996	54.6590043023	51.627928305	33.7850975188	85.5058972433	36.0273780136	78.0742991659	31.1743899762	24.4339756954	35.5252367595	17.4037537052	17.7672559773	32.3165558547	10.0657301055	271.878713216	77.6710856521	83.2123647263	112.265059592	163.877488295
Water Consumption Blue - Domestic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water Consumption Blue - Total	1489.02743855	5808.42277953	498.045508563	68.0524476843	1281.06076599	21408.6173415	1116.15780721	209.597752939	8044.01608278	930.138624303	13159.7148089	1203.92910749	276.954744271	1046.1311283	2507.37473789	9971.7866035	316.262825761	1076.69095758	168.718516398	76.0376223252	7453.94062622	3530.81474492	1465.01932379	1200.97526694	1953.21673224	549.1076025	631.165541129	13933.7404725	64968.3637171	24211.7514407	64574.3620631	10764.6054058	11948.0856368	5544.77068072	19522.4035508	7655.1636814	16153.6736055	5945.94073015	2500.4717503	6446.9029239	5133.01802254	1444.91790413	9498.87108601	2350.78647763	50261.7938526	15948.5209438	4653.85905125	27025.0848452	30982.3194269
Water Withdrawal Blue - Manufacturing	844.450148797	2175.0929655	172.616196273	18.4415760592	698.168317884	9684.66056578	630.003080224	60.5532463937	3710.19514628	395.407671076	6698.81211507	433.271995435	109.697736714	605.321245181	2670.49296421	4304.29739464	126.09632876	270.602121722	45.469594936	19.4399427925	2546.09095604	1795.28293214	555.774461657	562.26060667	977.117647104	116.38044289	290.107992983	6720.85235036	41361.2619424	11660.2857995	23944.8677913	5264.32683547	5960.74905288	3529.9369197	7519.46459606	3081.76938783	4330.23571404	3832.07690465	1287.94854884	2292.85145698	1310.7059028	711.07020428	4204.04402719	1027.23481759	28203.2605003	8642.41347275	1790.02534417	8815.45278553	16440.2648103
Water Withdrawal Blue - Electricity	733.079878694	1128.60451572	135.941680932	18.9688944928	494.213375578	5242.04629814	414.773213489	69.8497823063	1518.00633057	314.685505782	3533.31225868	840.792495029	449.150652325	536.750038538	1042.12724587	3155.08317299	95.1653591179	172.19631163	86.2810057029	24.1272720556	1527.17062217	1124.67907086	323.844225967	459.737480217	718.824476849	172.107635114	228.733235666	3635.73524702	17271.943908	4921.55224807	15605.2920692	2316.37912417	2328.59746101	1582.02140188	4650.68221908	1653.1333272	3034.4102948	1653.80827242	900.735185394	1464.01854721	937.948881646	494.43724178	1871.23490154	441.429186546	11743.2378751	3528.10042263	1533.97680502	3885.40619462	5918.41996789
Water Withdrawal Blue - Domestic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Water Withdrawal Blue - Total	1577.53002749	3303.69748122	308.557877205	37.410470552	1192.38169346	14926.7068639	1044.77629371	130.4030287	5228.20147686	710.093176858	10232.1243738	1274.06449046	558.848389039	1142.07128372	3712.62021008	7459.38056763	221.261687878	442.798433352	131.750600639	43.5672148481	4073.26157821	2919.962003	879.618687624	1021.99808689	1695.94212395	288.488078004	518.84122865	10356.5875974	58633.2058504	16581.8380475	39550.1598605	7580.70595964	8289.34651389	5111.95832158	12170.1468151	4734.90271503	7364.64600883	5485.88517707	2188.68373423	3756.87000419	2248.65478445	1205.50744606	6075.27892873	1468.66400413	39946.4983754	12170.5138954	3324.0021492	12700.8589802	22358.6847782
Carbon dioxide (CO2) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	37766.0235039	83541.1882821	9519.11586639	1198.74428601	33551.2076462	347338.171778	33924.0684706	3943.33016857	109974.222868	22467.6044315	219756.166424	29632.3218515	8064.64744608	28411.6503744	72995.4269066	192212.437432	6812.88310677	11274.8211945	3317.42449074	1566.69468551	100973.079003	68435.6360947	22482.811056	25066.8972064	44627.9199616	7647.71299464	21843.3757605	247565.504086	1333738.22748	335720.683899	977568.202825	159000.987006	203371.97448	120745.389106	347982.265611	113583.376771	143217.734621	120819.598197	61956.0004928	102223.969171	64057.1478949	31999.4643095	119068.502016	35851.5181251	1049672.76408	289290.373139	124680.65251	373443.902518	489433.124474
