impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	8662643746.25	20355581304.1	2680237614.36	2265578792.21	7017834561.74	91631697869	10413245319	783158910.88	34062358983.7	6015349187.73	57497239398.8	26476418946.3	1526126724.48	6202182097.78	15958037730	54380531927.6	1552899145.65	2241292391.1	858757534.333	311026897.686	23402164649.4	19332589430.3	5574802222.19	9497892881.26	10676690053.8	1477073925.57	2777458024.81	59081202079.2	576738196241	106132076240	1.14145268769e+12	52395523984.6	63097796218.9	183196672724	365774900332	109949224952	297373449442	45609311013.2	11607893526	57776674669.7	20487322975.3	12869809670.2	117533347688	26557953094.8	374185324293	356397710818	73535877019.3	281012437991	298126431507
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	4794334593.92	11224179937.7	1811362286.19	1080012186.77	5540603757.46	53228850151	5698123570.91	731885093.878	22171978149.5	3262618861.4	32720902716.8	12190149172.7	1138538804.22	3494673895.29	7917703783.96	25964680696.1	1713771035.24	1737498652.1	1271242378.06	207231778.66	13859972143	17167210397.3	4561718351.34	5581027431.96	5429920681.35	1240273873.82	2037201265.94	40137242658.6	271874344046	54951189301.6	665064406216	22897474685.1	27869925729.4	70606132039.9	185587437612	43376038573	62085469454.9	20830146382.9	5906077128.61	21604142437.6	11703570896.8	5384993343.41	43275867831.5	13129949651.7	252484954321	84010476556.3	25141773606.2	147152632621	98848759126.7
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	19076.1432642	35290.1667579	5963.14016274	22284.8156341	13450.1312062	275691.767733	62903.2296625	2324.02027955	62042.4174328	17539.6247067	93944.1257302	245119.885384	4882.4095862	10424.8957294	37852.3366203	124232.788565	3263.66149615	4852.76399979	1910.11914806	680.582301966	40536.1491895	34321.9099392	13224.4623287	16341.1703887	28564.3517687	3150.91993647	5998.64384258	176850.644909	981893.748576	326872.53712	2349165.11164	108457.130675	115318.321972	242366.853722	497228.815699	137531.416126	410934.525855	79791.2140187	32659.2223965	106925.488985	90828.9480082	63983.090149	194169.770488	36954.4661438	540476.055887	443460.144509	104247.473599	366227.630448	425096.468839
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	51487.2846689	100893.241666	31124.0992093	12699.9898727	85011.9318544	497465.338347	86170.1250655	19152.7542553	204273.779703	40964.2713791	410560.854909	170407.619036	26584.0297032	85536.8855673	98382.8186745	387807.10274	19700.0192554	11683.132164	17769.016798	1754.67071112	115105.780273	246565.311802	50696.3152722	109126.680727	60807.3048501	16001.8674432	23754.2383551	345315.756672	2886181.77809	611961.725626	18959786.7768	297711.839555	383750.004517	877453.96295	8773023.12349	528941.637898	1264506.51031	282760.857354	65700.6049495	410214.71625	123321.312383	97358.7263658	2104224.56634	431703.774416	4003876.6314	1565490.67683	489204.763945	6097738.51717	1432083.53005
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	52997.7042202	108725.889811	30442.1847037	17857.4306819	59483.7298787	598364.64938	72222.9667966	8598.51932283	217267.878653	38480.5097701	328378.774427	214684.396487	14203.4684397	38134.256352	85148.4333214	284363.009106	17392.5902707	15168.1728273	10532.2518276	2199.14120771	131577.907639	199802.049748	44116.6414811	66946.7881733	59508.7624954	12359.0058053	22455.6889528	409680.551736	3085275.55084	630932.487216	8323018.45074	278310.665729	332423.612929	625411.249244	2332510.76517	422795.8884	780520.758573	271293.427005	67502.3171799	252968.169527	144127.440365	71620.1693102	478423.318245	187500.204088	2212667.55677	853134.878523	325674.652135	1312454.49794	1201395.44703
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	22556.908219	39057.8963665	8608.37510293	2935.98573264	28175.9956292	235144.854504	16780.8398213	3523.26653096	83040.9508579	15382.1805559	126224.857915	33168.0357381	5273.72949802	18654.6718128	25776.5784705	121930.22146	5654.80286328	4326.38129738	2953.36628821	702.606315718	53137.5302251	85615.9124956	17208.5684648	24384.6104848	20297.0621015	4646.48149546	10929.8768407	146672.953308	1452721.85356	304110.430347	2974957.40687	132613.494522	180701.919131	214299.035627	912687.088053	144608.455603	372415.569028	129877.82414	25619.467664	125783.030616	60413.6556335	18364.4140094	234935.11579	68716.0176476	726543.735861	276758.337803	116193.958926	564434.518378	556806.725762
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	8662643746.25	20355581304.1	2680237614.36	2265578792.21	7017834561.74	91631697869	10413245319	783158910.88	34062358983.7	6015349187.73	57497239398.8	26476418946.3	1526126724.48	6202182097.78	15958037730	54380531927.6	1552899145.65	2241292391.1	858757534.333	311026897.686	23402164649.4	19332589430.3	5574802222.19	9497892881.26	10676690053.8	1477073925.57	2777458024.81	59081202079.2	576738196241	106132076240	1.14145268769e+12	52395523984.6	63097796218.9	183196672724	365774900332	109949224952	297373449442	45609311013.2	11607893526	57776674669.7	20487322975.3	12869809670.2	117533347688	26557953094.8	374185324293	356397710818	73535877019.3	281012437991	298126431507
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	4794334593.92	11224179937.7	1811362286.19	1080012186.77	5540603757.46	53228850151	5698123570.91	731885093.878	22171978149.5	3262618861.4	32720902716.8	12190149172.7	1138538804.22	3494673895.29	7917703783.96	25964680696.1	1713771035.24	1737498652.1	1271242378.06	207231778.66	13859972143	17167210397.3	4561718351.34	5581027431.96	5429920681.35	1240273873.82	2037201265.94	40137242658.6	271874344046	54951189301.6	665064406216	22897474685.1	27869925729.4	70606132039.9	185587437612	43376038573	62085469454.9	20830146382.9	5906077128.61	21604142437.6	11703570896.8	5384993343.41	43275867831.5	13129949651.7	252484954321	84010476556.3	25141773606.2	147152632621	98848759126.7
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	1696.50458757	3456.85208928	523.453212934	1351.73374757	1241.4344793	22062.1822588	4101.85646979	197.046335006	6015.80046165	1448.87484242	9495.81236909	15003.3507381	376.694008737	1005.014709	3566.84161898	10551.7186626	282.998355921	426.410725233	164.791726076	64.596141231	3946.99771338	3364.51604586	1148.53808088	1593.44417627	2332.15984356	277.926334558	542.780657446	14507.2053118	96482.6319692	30878.5369352	293148.235667	10035.2929202	13076.2286958	25160.1010398	53888.3138206	14992.7744231	41974.6512026	7780.7326533	2636.34525548	10624.3703663	6670.29052549	4338.1414626	18968.2849361	3996.10869003	60727.5721365	48275.8747126	10460.0384776	39306.9025709	48380.9552501
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	201.194654553	345.029300365	107.532471446	237.974742189	255.414179877	1725.83878111	134.602061769	40.0079593643	804.276259862	116.961033	1340.98223565	285.890582461	99.3345900279	325.478742082	291.938155123	1245.64265451	64.023541195	40.8270013928	51.2178384007	6.51469670634	386.934970479	662.676521806	146.211078632	367.95572525	170.975481236	62.1068492756	64.5999180771	1080.27545272	15424.2208538	2895.49318011	18940.1070974	1764.64629609	1144.28310395	2479.44393887	13715.1448351	2202.59758203	2586.71812483	942.389933217	191.142260599	802.304990612	489.164292733	143.079269328	4544.14037517	760.714064626	10196.9530512	3658.23677779	1248.21201552	14323.0182454	5623.76723729
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	55450.5532645	119249.385317	36487.7651335	13203.9626284	83977.7030751	562714.851685	83330.456615	17452.9449646	228150.844841	41296.608192	417853.484943	180197.117449	23910.6746352	74738.1954979	102043.35321	376870.642558	19630.5431139	14992.5558712	16937.3459846	2097.28543362	136515.022646	259037.986697	51976.238324	105551.074924	64176.8600968	15935.1481996	25112.253036	396116.898383	3120622.61686	659164.900304	17238429.6243	304096.539507	392947.540599	895202.715367	7372147.79282	552792.476531	1158229.37233	296417.515225	71287.3755535	402942.265135	133425.326271	90381.5250032	1703011.33735	385335.338264	3912813.72088	1481896.9368	499505.029369	5014793.10664	1452447.41512
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	21672.4121434	37527.5871734	8288.09288138	2803.89473631	27054.9386233	225702.509387	16122.3100729	3391.31533962	79935.3834432	14804.1523769	121427.479365	31780.938395	5078.30102497	17950.7606723	24813.6954222	117312.650988	5444.75454333	4175.79941985	2845.88485252	679.274655783	51101.545614	82516.0397002	16557.6758103	23495.3110282	19531.1379635	4473.84803496	10522.5618434	141174.394546	1392704.72778	291425.361842	2852863.14579	127284.436641	173338.744054	208425.823753	881198.968302	139438.526405	357478.979912	124859.537278	24612.4329976	121137.449203	57973.4354863	17640.4699567	227448.979874	65983.5499913	700085.362568	267555.98752	112308.101767	550035.260686	534572.779457
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	1028221875.62	2496268808.48	312324063.98	329472870.024	835206332.836	11295422044.4	1380118735.65	96311518.9242	4172251082.21	726800407.176	6950973436.18	3781600351.26	184067277.896	711676787.394	1953009607.95	6574544713.41	175986348.66	276750060.702	96717360.4369	38671899.1624	2865233625.32	2282430298.56	687090367.344	1107748463.4	1298358141.76	172088106.295	325678481.095	7427896860.4	73148092287.8	13131280648.5	148130832098	6705706170.86	7909212897.5	24315209443.7	44923230732.5	14366252812.1	33607871734.5	5776992927	1404131635.16	7105086867.91	2681559973.65	1691037074.41	15495080543.4	3515795157.35	47796070838.5	46949638215.1	7295461267.82	36559682348.2	36910893419.6
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	4794334593.92	11224179937.7	1811362286.19	1080012186.77	5540603757.46	53228850151	5698123570.91	731885093.878	22171978149.5	3262618861.4	32720902716.8	12190149172.7	1138538804.22	3494673895.29	7917703783.96	25964680696.1	1713771035.24	1737498652.1	1271242378.06	207231778.66	13859972143	17167210397.3	4561718351.34	5581027431.96	5429920681.35	1240273873.82	2037201265.94	40137242658.6	271874344046	54951189301.6	665064406216	22897474685.1	27869925729.4	70606132039.9	185587437612	43376038573	62085469454.9	20830146382.9	5906077128.61	21604142437.6	11703570896.8	5384993343.41	43275867831.5	13129949651.7	252484954321	84010476556.3	25141773606.2	147152632621	98848759126.7
Unused Domestic Extraction	128461.08784	291869.188811	67050.1904512	1711.01572742	217419.464932	2439209.84528	63185.0053266	7304.62197865	425393.059563	68369.007796	637420.673808	217227.307477	16254.3399509	89727.8873119	168812.474137	499938.849653	15245.946011	34037.5645506	8463.72914572	2502.73339533	335104.452159	993891.013204	106094.589638	127953.004947	130313.428037	20695.7440933	73573.8324635	622787.279229	6177156.4585	1667460.91088	13195257.8669	1301641.85525	1379203.04852	542532.286446	10548561.5638	464318.745563	1061727.18829	4236359.17659	132398.054713	732716.560282	377764.695983	74855.1650125	1371334.33177	513859.404112	3871142.93011	1015113.00609	901269.149968	1780048.27229	1797373.87601
Water Consumption Green - Agriculture	16581.5132247	50008.0078303	5729.09145506	359.068067737	16277.1720516	186373.468194	13760.3463645	2826.46315802	108654.198373	9318.16952393	129086.807986	13228.6604198	3571.07513931	12722.7076613	16986.3269274	99581.5426068	4023.01131607	9234.98186622	2428.26029693	542.214841326	65028.1220363	61914.3275422	17832.2040488	21023.3746449	17118.6430039	3626.84702349	6208.22028676	104732.680028	986050.407388	194896.40944	1838323.89425	95939.2688295	91162.1355457	197473.117951	1947415.52521	134848.61064	151684.794033	44426.6210431	21145.5026997	134611.061575	41522.1142621	11608.0929828	511448.315538	31125.6021788	811120.096537	293928.615787	85665.571102	1142331.25558	337338.085965
Water Consumption Blue - Agriculture	1244.15575724	5200.07330695	560.797172076	167.380801138	1070.5349142	18476.7099772	946.397045669	187.980469676	17803.0790436	808.006644815	11870.5646205	2035.19432251	230.661759095	862.407427567	1824.72532485	11156.7344896	279.69746379	997.333318193	152.734281386	72.6081237851	6661.80687411	4089.89964805	2316.35228906	1144.90345824	1645.99889013	481.153605909	588.855492131	11928.6410705	150771.81362	21686.2877056	310844.712719	9526.04630315	10814.6950222	11527.9069118	599230.644819	16564.4658435	19892.9668272	8476.10574748	2131.26661292	17644.6202328	4700.41323282	1238.30725901	36559.8848144	4098.17258688	143409.017986	24225.4268455	5686.82627104	69487.3495739	137682.987028
Water Consumption Blue - Livestock	70.9537077545	140.63427416	21.1171765515	5.89638885741	53.1748711802	743.51373345	72.7224116017	9.28092323586	408.343849115	52.8031445495	619.988631426	68.3389329659	16.7322031012	43.0068714723	107.205740254	459.014423118	36.2600041195	21.4656065549	9.45875209604	1.91244186948	182.415767415	173.872444232	71.7398183425	100.423396989	82.1246812097	16.9320246407	25.3557883	606.195792877	3930.61306554	607.593811703	12528.5870858	256.016516964	362.445517508	2186.52433268	6779.7989681	982.254972055	894.219170255	193.632382356	69.4744776797	524.323193118	195.705320222	54.1381322633	700.055147844	239.714618256	2959.90889656	2100.7572622	379.254002322	5204.37833281	2203.03640942
Water Consumption Blue - Manufacturing	238.783914507	792.71551635	78.652024031	4.63407348098	240.726424627	2701.68839081	149.857720212	14.6253547791	1000.6440432	149.01343018	1917.95067042	118.030626636	30.4350216856	169.24218775	618.410639121	1621.24735335	27.1118054567	54.7959509516	18.5571564054	4.84276650938	732.155217856	579.856332277	144.282565104	194.432162228	276.060554035	28.1452173903	164.525769016	1834.28663839	13516.937255	3481.33415949	80692.847496	1551.73353652	1890.51595931	1706.60300423	13190.9484666	1250.59833545	1983.83967134	928.003662294	313.844243438	1009.46883302	352.023577308	244.732800442	1069.69717163	325.750953785	15375.1735809	3304.50674902	809.522598602	10234.680397	4474.46907574
Water Consumption Blue - Electricity	41.8029070569	95.4203601847	32.8014644031	0.242292953607	15.7353129563	685.13511837	67.7138834432	7.31379557967	149.951790712	16.5216516295	106.690287881	415.83136271	37.2691500474	98.9032613323	30.0027949189	186.877738156	17.0288645759	4.37300185719	1.71157859738	0.544732431139	50.5035349774	198.224981164	19.6646240159	57.0699103868	37.5353152541	42.5117642684	45.9742804502	186.102880438	3965.18410634	96.5431886085	2182.59558678	195.925265067	275.044459248	75.5469019934	1259.01127183	129.931373591	1276.32308836	322.967981217	63.6927831279	222.867512305	17.8307042629	17.7672559773	99.4751499922	82.9215508908	716.519129727	223.228218538	486.973179129	119.11069034	534.160794828
Water Consumption Blue - Domestic	47.2485473373	52.5089287163	68.5491853581	9.38503563259	95.8252702736	281.509431747	36.7504995446	0.516114540859	250.553782563	45.5363851116	346.400100723	74.6438367995	60.738569753	103.491561455	45.9593143111	358.991850618	75.0670646503	3.80041458	22.9184723038	1.34563034217	154.594484824	328.35398185	56.4599556826	566.306352049	67.2955703602	23.0632680977	50.7073844609	1105.87903036	10331.5734122	853.873891572	16577.8165134	759.331929858	1220.09396504	2484.68520721	18291.3559466	3036.76690546	3959.45339025	394.393613171	83.3023596956	624.624622634	455.292339437	103.424209465	1787.61955039	302.884724314	20300.3805364	2584.12446048	2629.21395446	3272.94260468	1086.18024641
Water Consumption Blue - Total	1642.9448339	6281.35238636	761.91702242	187.538592063	1475.99679324	22888.5566515	1273.44156047	219.716657812	19612.5725092	1071.88125629	14861.5943109	2712.03908162	375.836703682	1277.05130958	2626.30381345	13782.8658548	435.165202593	1081.76829214	205.380240788	81.2536949373	7781.47587918	5370.20738757	2608.49925221	2063.13527989	2109.01501099	591.805880307	875.418714357	15661.1054126	182516.121459	26725.632757	422826.559401	12289.0535516	14562.7949233	17981.266358	638751.759472	21964.01743	28006.8021474	10315.1033865	2661.58047686	20025.9043938	5721.26517405	1658.36965716	40216.7318342	5049.44443413	182761.00013	32438.0435357	9991.79000556	88318.4615987	145980.833554
Water Withdrawal Blue - Manufacturing	1300.36263822	2892.35492059	279.237808238	21.4985955008	887.723716259	11998.6814244	640.941569136	64.6252452589	4324.70757472	547.896236747	7460.9509139	475.590869233	147.47907359	710.563656966	3024.29010779	7688.38588867	133.120472977	273.557096185	67.3219350939	19.640406729	3367.74340504	2276.86292583	672.853700599	997.615937917	1163.83291742	126.3069521	658.921358098	7233.26232357	62804.0748087	15889.9085206	175113.345327	8165.05092256	8380.8029583	8921.26116197	81065.618279	5585.78902571	8563.7417964	4051.54697988	1414.45585303	3396.02947249	2164.10184967	1080.07408863	4924.12553019	1501.96698602	66502.2589663	16231.1869725	4046.09248056	28010.7250053	16922.8911433
Water Withdrawal Blue - Electricity	1789.51968097	3733.66023442	2317.87196394	18.9688944928	494.213375578	18336.1537492	485.001566726	122.556030436	6089.80029509	1132.21004786	3661.1694248	1330.30092296	495.429533721	2606.62666626	1071.59575038	9737.1772523	1735.22804639	172.19631163	86.2810057029	24.1272720556	2437.48107801	6810.76166955	1057.80466865	2039.31658049	787.40606188	516.109120578	427.339727599	6304.53231662	173694.522562	4924.77932054	76805.0818555	16885.8268296	28222.6780184	6418.983891	26895.8344393	1803.36863739	33485.9093674	2144.81139901	1983.8353725	14172.9151204	938.495127212	494.43724178	9654.07322491	526.427644129	47079.0847996	20564.9319012	9956.40184708	3893.39276383	47347.8645554
Water Withdrawal Blue - Domestic	469.808056883	473.451075276	578.384888371	87.5930501999	993.499357765	2543.64128774	337.602690147	63.1722313309	1893.53443018	291.748356292	3450.64785898	492.386185553	360.574816262	655.137740683	397.089351402	3572.254634	148.186435465	34.2669752364	161.178575658	11.0603953047	1351.51330417	2536.5527018	381.438249158	4459.65471002	540.188012989	183.088001651	510.242585676	9118.63717499	70298.5594269	9853.10158584	161480.049065	4746.87859964	10341.0353221	13089.6094957	81918.1484738	14336.1560473	15837.7725936	4319.95626062	667.879143618	5816.23541429	3674.32147089	687.202641079	13459.1426115	2628.53180062	64338.0722362	20587.5122233	11814.4439073	23576.0844356	8193.55721829
Water Withdrawal Blue - Total	3559.69037608	7099.46623028	3175.49466055	128.060540193	2375.4364496	32878.4764613	1463.54582601	250.353507026	12308.0423	1971.8546409	14572.7681977	2298.27797775	1003.48342357	3972.32806391	4492.97520957	20997.817775	2016.53495483	480.020383052	314.781516455	54.8280740893	7156.73778722	11624.1772972	2112.09661841	7496.58722842	2491.42699229	825.504074329	1596.50367137	22656.4318152	306797.156797	30667.789427	413398.476247	29797.7563518	46944.5162988	28429.8545487	189879.601192	21725.3137103	57887.4237574	10516.3146395	4066.17036915	23385.1800071	6776.91844777	2261.71397149	28037.3413666	4656.92643078	177919.416002	57383.6310971	25816.9382349	55480.2022048	72464.312917
