impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	15906.0088133	25823.9277549	11553.0240111	3240.03363808	27545.0988283	184722.471478	13554.5204895	4204.58461473	69336.5772839	14538.8689227	86145.2215553	34245.8254616	5185.03341752	16209.8714325	19588.0823799	80537.7511552	5482.73622532	2663.01760476	2962.13396703	324.133248625	44135.8963131	100625.077932	15401.3191187	22251.3983905	12420.3112042	3859.90907237	8201.65067494	103708.531628	1208356.05092	252548.239811	3051644.66149	157021.972846	159220.084875	242168.626105	917291.37266	153693.319852	502246.202649	153622.154059	11668.0390091	124664.950547	68942.1628703	17721.2548369	255182.41562	103817.598449	815962.897315	299498.905003	122083.086055	558147.165266	646453.378513
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	2178144974.91	4627605774.79	1457313762.39	2628206176.23	1485801951.57	45036496541.9	7147993478.99	474097473.408	8754241605.53	1874310560.85	11926968989.2	31636713040.8	855415699.405	1003976724.23	12609863408.6	11796120717	462519143.315	1036185081.32	818327447.184	160424434.737	5843089070.47	5311507813.92	1333222959.35	6467069918.26	3590726048.56	363836342.434	1710185754.6	17080170733.1	83527512747.6	71222679037.2	1.21017187738e+12	12673081454.4	27296001583.9	291415270815	293084824423	316550820903	441945911927	6187663914.65	4031526729.33	66437800240.4	15453201944.7	6090549592.7	22315813846.5	56332921187.6	705599377527	372892925376	243801959810	236402701728	381417736645
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	2760440114.69	4945750368.2	2237986406.32	1192068512.69	4796077267.16	35552366003.1	6124119425.47	784387416.837	17053009862.6	2232288626.82	25825847834	14272105013.8	1033387556.63	3197431710.18	20952574937	14276172536.2	2083431839.95	745669683.931	993409483.385	89825530.5936	9067973722.25	17315213342.9	4300764548.47	5400557985.41	2770468968.93	1018239461.53	1612652654.29	21187903205.3	201880891885	27605216437.2	617706957314	23152476564.3	15359166560.2	88358876031.6	180808840842	47872574491.3	60720669979.7	19467317634.1	2493756794.62	14483399258.9	6301031999.26	4311045900.48	32584799868.7	16092081090.1	479425225409	98663175146.2	38956288166.1	146003361307	75631393167.2
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	3395.25238871	19087.68869	3865.44922331	27953.8174706	2211.47582788	342772.655917	56065.4882208	3429.39399645	23886.3224348	5731.37280059	36537.5126845	323589.456831	4586.49018363	1405.04966169	14219.064931	59111.4048806	1867.364125	4974.51033253	3470.3889386	644.689155455	33712.7930033	8067.80117192	5148.09055278	11073.3341286	14876.047728	1849.53317871	1847.24525258	115488.202039	226844.083585	331313.928116	2574088.87059	53919.9802285	94709.569478	348808.615234	402818.276822	351284.844235	595094.216148	13593.0733117	9944.03734784	138319.715376	91499.6383143	57268.3034568	90233.8588111	67828.6992855	928375.961486	435790.847414	289761.574103	282083.731077	502855.992396
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	24799.8813879	41192.7901848	28377.123857	14926.4491676	74620.8102808	325739.967272	85405.7667473	21781.1218276	130193.755978	28706.488326	250345.943608	219850.487116	24829.7445049	69861.6305622	110831.14135	267430.854036	18093.2420842	7603.42854037	19154.6256016	1419.44139107	45901.5852575	215308.874644	40547.4729375	99504.3028689	30544.621702	12780.2152124	25793.9306029	148001.099829	1325779.13869	475377.334514	20231280.5791	208679.366695	237897.725099	1073917.17127	9196464.99643	881006.488894	1585695.46029	177426.18947	46217.2682835	452620.639756	102776.135707	88514.8437251	1960128.05417	533184.368706	4408814.60697	1513494.55475	778126.916748	5842921.06498	1509928.55649
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	29362.1676821	53232.2652036	48216.9662734	21058.2768302	53278.35375	482012.60022	71754.0756659	10611.678848	169608.396944	28361.1465394	230798.725564	265681.820802	13775.1027726	30877.4873728	149707.452955	164731.525261	19131.6538073	9084.34242439	10084.8119784	1474.2876402	87457.7479613	198220.082163	39150.5630733	63748.9496994	32894.2757957	10252.989136	17678.399917	240397.814877	2221147.98717	440776.30494	8236248.23412	279270.83519	239538.07396	744500.415555	2342469.35465	489263.575726	869849.558371	254861.754563	31517.2330427	204177.089682	115283.497437	63662.2181896	420692.827921	270214.028258	3568742.55552	1087049.02294	456135.472413	1284897.76691	1178113.09275
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	15906.0088133	25823.9277549	11553.0240111	3240.03363808	27545.0988283	184722.471478	13554.5204895	4204.58461473	69336.5772839	14538.8689227	86145.2215553	34245.8254616	5185.03341752	16209.8714325	19588.0823799	80537.7511552	5482.73622532	2663.01760476	2962.13396703	324.133248625	44135.8963131	100625.077932	15401.3191187	22251.3983905	12420.3112042	3859.90907237	8201.65067494	103708.531628	1208356.05092	252548.239811	3051644.66149	157021.972846	159220.084875	242168.626105	917291.37266	153693.319852	502246.202649	153622.154059	11668.0390091	124664.950547	68942.1628703	17721.2548369	255182.41562	103817.598449	815962.897315	299498.905003	122083.086055	558147.165266	646453.378513
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	2178144974.91	4627605774.79	1457313762.39	2628206176.23	1485801951.57	45036496541.9	7147993478.99	474097473.408	8754241605.53	1874310560.85	11926968989.2	31636713040.8	855415699.405	1003976724.23	12609863408.6	11796120717	462519143.315	1036185081.32	818327447.184	160424434.737	5843089070.47	5311507813.92	1333222959.35	6467069918.26	3590726048.56	363836342.434	1710185754.6	17080170733.1	83527512747.6	71222679037.2	1.21017187738e+12	12673081454.4	27296001583.9	291415270815	293084824423	316550820903	441945911927	6187663914.65	4031526729.33	66437800240.4	15453201944.7	6090549592.7	22315813846.5	56332921187.6	705599377527	372892925376	243801959810	236402701728	381417736645
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	2760440114.69	4945750368.2	2237986406.32	1192068512.69	4796077267.16	35552366003.1	6124119425.47	784387416.837	17053009862.6	2232288626.82	25825847834	14272105013.8	1033387556.63	3197431710.18	20952574937	14276172536.2	2083431839.95	745669683.931	993409483.385	89825530.5936	9067973722.25	17315213342.9	4300764548.47	5400557985.41	2770468968.93	1018239461.53	1612652654.29	21187903205.3	201880891885	27605216437.2	617706957314	23152476564.3	15359166560.2	88358876031.6	180808840842	47872574491.3	60720669979.7	19467317634.1	2493756794.62	14483399258.9	6301031999.26	4311045900.48	32584799868.7	16092081090.1	479425225409	98663175146.2	38956288166.1	146003361307	75631393167.2
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	449.646750792	1439.8810874	436.68147779	1678.26487527	244.912902501	21943.6653257	3448.21244856	238.875553564	2255.67856135	558.332565584	2946.16364948	19570.963027	330.08265986	141.786020312	1859.00855429	4104.20501149	141.285716617	396.845476028	249.716760975	54.5992429927	2218.3798235	1047.73656929	462.296274087	1306.54552593	1085.03987965	137.473658234	231.926408527	7934.31783565	21050.7559208	27770.6607622	336534.202606	4055.94856212	9207.39172402	37064.9350502	41379.0132865	37985.286364	59954.9158986	1287.29990433	800.144659159	16380.7179625	6564.53311175	3466.00668599	6972.79671437	7627.3141652	95644.197911	47269.028031	29014.9960998	30300.5001728	55306.7501783
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	181.785265339	227.804068009	126.426893367	245.12672111	287.435707861	1491.5757548	135.097264491	41.2884570146	715.031835227	97.9135481306	1078.68642778	212.767189	117.506305136	299.984067624	193.934196757	945.981375162	58.2721107702	16.5247342049	49.0542555354	5.81297166534	205.916633101	667.229107162	132.479889371	390.267818359	116.497274925	58.5283751441	50.2720118997	735.638631337	14986.8692651	2542.01651351	17594.1411904	1882.04954716	947.712350954	2822.12246463	13542.2259918	2344.81052269	4555.69429572	996.318486156	140.705444288	839.563764409	607.411770808	218.567199137	4663.87816563	801.552530498	9875.36843307	3776.54048722	1148.24673254	14438.9630705	7128.59788767
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	26410.8080456	45028.3892795	45803.0117615	15323.9862313	73131.7423304	359433.680684	83460.7603302	19867.4410051	147765.389522	27661.2184572	254642.323718	224733.903402	21576.6638998	60172.2368719	148578.717738	236868.777461	19347.1424579	7567.17214195	16623.8000557	1398.20289676	59706.6581495	232905.185841	42257.4190253	98223.3047154	29998.942613	12088.2707195	25070.6015343	172906.871161	1613016.87376	443416.506545	18036920.5966	240245.118468	228853.39155	1098327.17586	7689696.74811	840233.908031	1392501.40856	219124.456429	43579.8700639	399708.487927	97684.876886	77568.6509649	1558037.11753	496554.508415	4982148.6148	1608200.52084	780679.557757	4861285.34638	1446561.86932
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	15239.2410421	24708.3303177	11092.2916874	3091.89250824	26366.5269714	176688.5179	13021.9788538	4043.006217	66506.6612033	14038.7513421	82687.9843708	32743.7320635	4982.65867308	15576.0477451	18938.3726818	77133.465195	5272.18318793	2544.13564497	2844.77651478	310.244172997	42226.4511354	97276.5254394	14795.8048509	21413.3626324	11944.5806065	3705.98113026	7869.516784	99682.4841184	1157449.87846	240817.70028	2921367.89514	150797.423248	151955.1973	235894.619076	885079.411925	148287.325481	483248.587802	148498.191099	11168.8040439	119617.195934	65733.5069777	17037.2499169	247320.523244	99585.5680051	788999.538832	290704.738455	117983.14724	546073.491071	622191.212798
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	246194990.567	553606369.054	217417576.87	385633301.303	211560618.839	5697544764.62	843974128.229	58825531.3669	989177348.791	211739391.632	1121803031.53	4513576788.79	116933054.377	112205408.952	1138150644.3	1397445889.94	46898119.1995	139253156.291	79803620.8945	17102651.2023	661951999.853	686172397.609	164717375.999	882183654.623	439302016.465	49746403.5324	161095287.792	2076482667.08	9264284853.31	7492613927.1	157816164750	1507407424.24	3451025789.79	38944246927	34878778067.6	42041628146	48408361846.3	595784910.89	258180233.262	9460425425.14	1985190639.91	842450803.636	2854187273.27	7512369690.79	94854694435.3	49792215813.1	21047841967.6	31868535633.7	50905152273.3
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	2760440114.69	4945750368.2	2237986406.32	1192068512.69	4796077267.16	35552366003.1	6124119425.47	784387416.837	17053009862.6	2232288626.82	25825847834	14272105013.8	1033387556.63	3197431710.18	20952574937	14276172536.2	2083431839.95	745669683.931	993409483.385	89825530.5936	9067973722.25	17315213342.9	4300764548.47	5400557985.41	2770468968.93	1018239461.53	1612652654.29	21187903205.3	201880891885	27605216437.2	617706957314	23152476564.3	15359166560.2	88358876031.6	180808840842	47872574491.3	60720669979.7	19467317634.1	2493756794.62	14483399258.9	6301031999.26	4311045900.48	32584799868.7	16092081090.1	479425225409	98663175146.2	38956288166.1	146003361307	75631393167.2
Unused Domestic Extraction	25861.4344552	35549.9558514	138613.085588	509.425692258	317017.651741	2476965.86372	29003.6432825	3413.60395307	198002.005497	48404.6208169	164283.912666	243697.350528	5469.60987457	40216.2102454	23811.6126522	111661.376986	8983.80643384	1066.04770301	7860.84473954	400.41692497	31666.2387226	1034216.05768	33455.0852761	115138.555224	98017.4731612	13905.9116984	15731.0844403	121682.864097	5425086.54695	47698.6705703	6941507.02336	2086810.83588	31975.4767683	554695.45294	7974368.54512	488142.6716	2624471.58089	13124251.9685	11997.7522151	339174.366509	12180.2090246	39365.4432711	2597364.04445	2968956.47932	3979059.93574	3271655.86832	864148.712314	1607365.72438	617228.826327
Water Consumption Green - Agriculture	5134.27802624	3282.74693428	20061.8316952	132.565310445	9528.5099405	80111.9348495	12772.0700695	2357.36370958	73973.9131877	2753.08359553	69625.2390485	7495.64803446	3934.80822289	20093.7233383	1894.00846065	35166.5410842	5515.43872485	286.718126652	3957.97312495	28.3808474929	6066.06095987	49483.4837333	13800.9163096	38081.5327772	2798.63970856	1239.64032838	5035.11411407	16850.5074283	1055985.30969	19461.6074906	1453147.99456	146461.853915	9648.24018499	315927.628242	1972711.35835	128039.854107	219665.083678	65522.8010852	1005.27206641	101187.907881	0	820.552127657	719382.631041	25560.8126593	1040138.15321	478650.953947	226414.298911	1489696.92487	141950.694744
Water Consumption Blue - Agriculture	53.370449817	15.4230896381	280.857315091	140.180544937	16.2876077596	216.607084555	93.0206410706	0.869779812502	21141.8531991	8.26107150106	2411.66832913	2676.74519998	4.10478867635	202.600936989	0.526090779662	3727.0642021	3.14111735866	0.0465206867211	0.555456149788	6.73816224877	773.267970552	1679.27953237	2020.81507304	944.155446815	14.2386680675	4.14063661631	147.713621599	105.149630974	144338.803009	874.810603728	287794.391457	726.560091655	870.110210333	9639.99613927	621476.20006	25305.076931	9082.41961104	9438.23081462	1.09600646456	17724.7769579	0	7.33901784861	29224.4543057	3492.72510934	232409.836127	22984.1552878	4916.42052986	61945.6952633	192063.525854
Water Consumption Blue - Livestock	40.8534432342	71.40961031	24.0505809292	5.67778148821	36.802269449	482.233982934	113.696715379	9.24034336997	349.655061513	36.9809351849	457.695006131	44.1098697614	15.2690129534	42.0294167137	253.951747228	202.812567345	50.4929871666	1.95933166826	12.5491679482	0.553960287257	132.336680672	213.291090845	66.7079516934	132.24171897	36.3004612694	13.1604503547	18.8649513613	316.298908114	2748.67003335	140.858021243	11154.7084339	198.551055547	141.516345306	3046.22637296	8711.83439293	1306.88284666	625.221054021	449.334287967	29.7909542796	209.189516658	34.1694746783	27.7713179343	523.815036349	304.02004033	3848.54402098	3342.41675076	624.617471394	6670.97003215	252.981953487
Water Consumption Blue - Manufacturing	194.010011036	1348.48788678	154.555364903	1.62141754075	187.19296866	1041.44266063	22.8245458521	3.8874863653	107.387813969	159.972913318	342.118208226	19.9773349304	24.4426999902	99.3065156531	367.317835709	1042.97911051	7.56869906475	7.27692986159	26.9911362397	0.0990640678469	340.634347268	442.151756076	56.2521457721	146.84731818	173.037205127	0.841792073774	253.55747616	793.860043636	3615.50140732	1159.6343019	111523.607946	644.520714243	660.363844966	1140.29755324	14788.3337448	1418.23743949	1315.96479703	37.3882496184	51.669526488	1493.46133087	301.374977026	234.713920876	165.632175764	135.300514652	11932.2489904	1796.56616233	931.652864693	10782.1357123	117.692192448
Water Consumption Blue - Electricity	22.4566072231	104.752860977	60.4270593714	0	0	783.644878681	142.595888077	9.18223722317	155.123725578	8.83126782544	14.3284680354	495.887131117	232.951236734	33.9094936461	2.78039473508	117.725707365	29.7623205382	0	0	0	16.9262384771	217.661006689	14.3017933933	62.842682212	18.4080736319	28.1629229438	51.0005801692	146.749351675	3831.85549333	3.19839956507	2325.81168086	206.02836252	306.923347356	58.153668293	1276.33431503	109.896127183	1331.98214327	337.881206175	62.4823581934	208.785182444	1.19631217367	0	81.9371698145	148.111134659	699.680061702	178.092013336	576.602086193	8.16037997855	489.555464487
Water Consumption Blue - Domestic	47.2485473373	52.5089287163	68.5491853581	9.38503563259	95.8252702736	281.509431747	36.7504995446	0.516114540859	250.553782563	45.5363851116	346.400100723	74.6438367995	60.738569753	103.491561455	45.9593143111	358.991850618	75.0670646503	3.80041458	22.9184723038	1.34563034217	154.594484824	328.35398185	56.4599556826	566.306352049	67.2955703602	23.0632680977	50.7073844609	1105.87903036	10331.5734122	853.873891572	16577.8165134	759.331929858	1220.09396504	2484.68520721	18291.3559466	3036.76690546	3959.45339025	394.393613171	83.3023596956	624.624622634	455.292339437	103.424209465	1787.61955039	302.884724314	20300.3805364	2584.12446048	2629.21395446	3272.94260468	1086.18024641
Water Consumption Blue - Total	357.939058647	1592.58237642	588.439505652	156.864779599	336.108116142	2805.43803854	408.888289923	23.6959613118	22004.5735827	259.582572941	3572.21011224	3311.36337259	337.506308107	481.337924457	670.535382762	5449.57343794	166.032188779	13.0831967966	63.0142326415	8.73681694604	1417.75972179	2880.73736783	2214.53691958	1852.39351823	309.279978456	69.3690700864	521.84401375	2467.93696476	164866.403355	3032.37521801	429376.336031	2534.99215382	3199.007713	16369.358941	664544.05846	31176.8602498	16315.0409956	10657.2281716	228.341205121	20260.8376105	792.033103315	373.248466124	31783.4582381	4383.0415233	269190.689736	30885.3546747	9678.5069066	82679.9039924	194009.935711
Water Withdrawal Blue - Manufacturing	2269.78969411	2772.81366966	419.039212151	4.27104863902	535.631607418	8650.15303233	41.4991742766	21.5832756876	1414.50942391	479.465714019	2155.29991305	129.786896052	135.021294156	368.284393795	2314.05426642	6775.92991619	50.2789803197	27.3784446148	65.0742289503	0.643590244691	3743.9301909	1636.7712151	303.832480272	1147.86781214	804.600085677	54.3711192686	1052.1384202	1653.8694063	36155.0140732	7435.20734425	218788.496075	5453.29355243	4853.07025102	7935.73443793	99446.7136807	5831.30201506	6418.02251106	431.865970092	325.511250993	3580.04695831	2371.81896084	1076.2841108	1303.52406453	1017.3059142	94266.8811495	14913.6353382	6094.63159911	26457.4506717	1007.67936389
Water Withdrawal Blue - Electricity	1444.185132	4216.40079657	4784.72484783	0	0	19022.9457441	176.940343119	85.3913990108	6470.44087166	1100.02529411	158.09397407	609.854596643	407.449285505	3632.32644292	222.531185918	9080.38271018	3548.59370537	0	0	0	1865.65561673	7537.95935862	962.776725521	2603.09356051	104.757437256	1058.93382642	256.142503691	3711.26459439	165252.285269	3.7784819329	74382.716068	21138.2982708	35567.6190523	6734.90116243	24206.4850456	175.390286043	33862.1170472	568.604829681	1723.17841908	14417.6849876	1.53057586925	0	9515.17518189	172.796323769	55335.1702084	20806.2349369	12013.6357975	9.52044330831	54766.5028269
Water Withdrawal Blue - Domestic	469.808056883	473.451075276	578.384888371	87.5930501999	993.499357765	2543.64128774	337.602690147	63.1722313309	1893.53443018	291.748356292	3450.64785898	492.386185553	360.574816262	655.137740683	397.089351402	3572.254634	148.186435465	34.2669752364	161.178575658	11.0603953047	1351.51330417	2536.5527018	381.438249158	4459.65471002	540.188012989	183.088001651	510.242585676	9118.63717499	70298.5594269	9853.10158584	161480.049065	4746.87859964	10341.0353221	13089.6094957	81918.1484738	14336.1560473	15837.7725936	4319.95626062	667.879143618	5816.23541429	3674.32147089	687.202641079	13459.1426115	2628.53180062	64338.0722362	20587.5122233	11814.4439073	23576.0844356	8193.55721829
Water Withdrawal Blue - Total	4183.78288299	7462.66554151	5782.14894835	91.8640988389	1529.13096518	30216.7400642	556.042207542	170.146906029	9778.48472575	1871.23936442	5764.0417461	1232.02767825	903.045395923	4655.7485774	2933.67480374	19428.5672604	3747.05912115	61.6454198512	226.252804609	11.7039855494	6961.09911179	11711.2832755	1648.04745495	8210.61608266	1449.54553592	1296.39294734	1818.52350957	14483.7711757	271705.858769	17292.087412	454651.261208	31338.4704228	50761.7246254	27760.2450961	205571.3472	20342.8483484	56117.9121519	5320.42706039	2716.56881369	23813.9673602	6047.67100759	1763.48675187	24277.8418579	3818.63403859	213940.123594	56307.3824984	29922.7113039	50043.0555506	63967.7394091
